Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,Maximum Operating Temperature,Thermal Conductivity,Product,Type,Package / Case,Material,Breakdown Voltage,Color,Minimum Operating Temperature,Length,Width,Thickness,Tensile Strength,Flammability Rating,Series,Packaging
739-A18212-19,A18212-19,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/A18314_00_Tflex_SF10_Data_Sheet_020921-2199741.pdf,Non-Stocked,"$1,899.98",RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A18212-19?qs=81r%252BiQLm7BR6ylWS%2FQ3jFg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A18212-19&utm_content=Laird-Performance-Materials,+ 125 C,10 W/m-K,Thermal Gap Fillers,,,Thermoplastic (TP),,Gray,- 40 C,457 mm,457 mm,4.75 mm,,UL 94 V-0,Tflex SF10,Bulk
739-A17819-08,A17819-08,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked,$977.64,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17819-08?qs=byeeYqUIh0NK4MKRH892ew%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17819-08&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,,Gray,- 50 C,1.5 ft,1.5 ft,0.08 in,,UL 94 V-0,HD90000,Bulk
739-A17819-11,A17819-11,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked,"$1,224.69",RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17819-11?qs=byeeYqUIh0M4jyoqg%252BBA5w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17819-11&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,,Gray,- 50 C,1.5 ft,1.5 ft,0.11 in,,UL 94 V-0,HD90000,Bulk
739-A17819-18,A17819-18,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked,"$1,909.72",RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17819-18?qs=byeeYqUIh0Mj9rdBZTjL6w%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17819-18&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,,Gray,- 50 C,1.5 ft,1.5 ft,0.18 in,,UL 94 V-0,HD90000,Bulk
739-A17820-17,A17820-17,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked,$475.58,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17820-17?qs=byeeYqUIh0NTcIt3rVZ86Q%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17820-17&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,,Gray,- 50 C,9 in,9 in,0.17 in,,UL 94 V-0,HD90000,Bulk
739-A12631-18,A12631-18,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,Non-Stocked,$959.67,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A12631-18?qs=7MVldsJ5Uax9QUYjufpjig%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A12631-18&utm_content=Laird-Performance-Materials,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Gap Filler Pad,,,,Blue-Violet,- 45 C,457.2 mm,457.2 mm,0.432 mm,,UL 94 V-0,Tflex 600,Bulk
739-A12627-02,A12627-02,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_600_DS-071718-1634231.pdf,Non-Stocked,$719.78,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A12627-02?qs=7MVldsJ5UayjQMJyZmu6%252BA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A12627-02&utm_content=Laird-Performance-Materials,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Gap Filler Pad,,,,Blue-Violet,- 45 C,457.2 mm,457.2 mm,0.33 mm,,UL 94 V-0,Tflex 600,Bulk
739-A16367-41,A16367-41,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_SF600_DS_071718-1634176.pdf,Non-Stocked,$40.26,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A16367-41?qs=byeeYqUIh0MNsUKoAe%2FIvA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A16367-41&utm_content=Laird-Performance-Materials,+ 125 C,3 W/m-K,Thermally Conductive Gap Pad,,,Boron Nitride,,Red (Rose),- 20 C,9 in,9 in,0.01 in,,UL 94 V-0,Tflex SF600,Bulk
739-A17819-05,A17819-05,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked,$669.36,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17819-05?qs=byeeYqUIh0PPSrAU133qiw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17819-05&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,,Gray,- 50 C,1.5 ft,1.5 ft,0.05 in,,UL 94 V-0,HD90000,Bulk
739-A17819-10,A17819-10,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked,"$1,126.79",RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17819-10?qs=byeeYqUIh0N79F6dX5YNKg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17819-10&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,,Gray,- 50 C,1.5 ft,1.5 ft,0.1 in,,UL 94 V-0,HD90000,Bulk
739-A17819-20,A17819-20,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked,"$2,210.64",RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17819-20?qs=byeeYqUIh0Pbsc7tZ8yoLg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17819-20&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,,Gray,- 50 C,1.5 ft,1.5 ft,0.2 in,,UL 94 V-0,HD90000,Bulk
739-A17820-10,A17820-10,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked,$295.78,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17820-10?qs=byeeYqUIh0PFlw3D7JJSLw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17820-10&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,,Gray,- 50 C,9 in,9 in,0.1 in,,UL 94 V-0,HD90000,Bulk
739-A17820-13,A17820-13,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked,$372.86,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17820-13?qs=byeeYqUIh0Oig7%252BAa0zKLg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17820-13&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,,Gray,- 50 C,9 in,9 in,0.13 in,,UL 94 V-0,HD90000,Bulk
739-A17682-040,A17682-040,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_UT20000_Series-2933078.pdf,Non-Stocked,$63.72,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17682-040?qs=lYGu3FyN48cM5M7CcEtCxg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17682-040&utm_content=Laird-Performance-Materials,+ 200 C,3 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Ceramic Filled Silicone,,Gray,- 50 C,228.6 mm,228.6 mm,1.01 mm,10 psi,UL 94 V-0,UT20000,Bulk
739-A17819-16,A17819-16,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked,"$1,799.64",RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17819-16?qs=w%2Fv1CP2dgqqla7AMvB9BcQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17819-16&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,,Gray,- 50 C,1.5 ft,1.5 ft,0.16 in,,UL 94 V-0,HD90000,Bulk
739-A17819-19,A17819-19,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked,"$2,007.58",RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17819-19?qs=byeeYqUIh0Msr8WXA87qaQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17819-19&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,,Gray,- 50 C,1.5 ft,1.5 ft,0.19 in,,UL 94 V-0,HD90000,Bulk
739-A17820-11,A17820-11,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked,$306.16,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17820-11?qs=byeeYqUIh0N2y%252BfVf1D7aA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17820-11&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,,Gray,- 50 C,9 in,9 in,0.11 in,,UL 94 V-0,HD90000,Bulk
739-A17819-12,A17819-12,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked,"$1,322.55",RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17819-12?qs=byeeYqUIh0ODVZ8L6LmG9g%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17819-12&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,,Gray,- 50 C,1.5 ft,1.5 ft,0.12 in,,UL 94 V-0,HD90000,Bulk
739-A11927-01,A11927-01,Laird Performance Materials,,Non-Stocked,$39.93,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A11927-01?qs=6E8igxPflKe9VECUCQExjQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A11927-01&utm_content=Laird-Performance-Materials,+ 300 C,5 W/m-K,Thermally Conductive Gap Pad,,,Graphite,,Pewter,- 240 C,609.6 mm,457 mm,0.25 mm,650 psi,UL 94 V-0,Tgon 800,Bulk
739-A17819-19,A17819-19,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked,"$2,007.58",RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17819-19?qs=byeeYqUIh0Msr8WXA87qaQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17819-19&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,,Gray,- 50 C,1.5 ft,1.5 ft,0.19 in,,UL 94 V-0,HD90000,Bulk
739-A17820-11,A17820-11,Laird Performance Materials,https://www.mouser.com/datasheet/2/987/Tflex_HD90000_Series-1858795.pdf,Non-Stocked,$306.16,RoHS Compliant,,https://www.mouser.com/ProductDetail/Laird-Performance-Materials/A17820-11?qs=byeeYqUIh0N2y%252BfVf1D7aA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=A17820-11&utm_content=Laird-Performance-Materials,+ 125 C,7.5 W/m-K,Thermally Conductive Gap Pad,,,Silicone Elastomer,,Gray,- 50 C,9 in,9 in,0.11 in,,UL 94 V-0,HD90000,Bulk
951-2193883,GP3500ULM-0.080-05-200MM400MM,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-3500ULM-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,$222.38,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP3500ULM-0.080-05-200MM400MM?qs=DPoM0jnrROVutUkyJQmaow%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP3500ULM-0.080-05-200MM400MM&utm_content=Bergquist-Company,+ 200 C,3.5 W/m-K,Thermally Conductive Gap Pad,Gap Pad,,,5 kVAC,Gray,- 60 C,,,,4 psi,UL94 V-0,3500ULM / TGP 3500ULM,
951-GF4500CVO240200C,GF4500CVO-00-240-200CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-FILLER-TGF-4500CVO-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,$179.20,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GF4500CVO-00-240-200CC?qs=A6eO%252BMLsxmQzdoedtZutDQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GF4500CVO-00-240-200CC&utm_content=Bergquist-Company,+ 200 C,4.5 W/m-K,Thermally Conductive Liquid Gap Filler,Liquid Gap Filler,,Silicone Elastomer,,"Pink, White",- 60 C,,,,,UL 94 V-0,4500CV / TGF 4500CVO,
951-TGF3000SF1500400,TGF3000SF-00-1500-400CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-FILLER-TGF-3000SF-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,$355.41,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/TGF3000SF-00-1500-400CC?qs=XAiT9M5g4x9Qt9o7YU%2FhAA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TGF3000SF-00-1500-400CC&utm_content=Bergquist-Company,+ 100 C,3 W/m-K,Thermally Conductive Liquid Gap Filler,Liquid Gap Filler,,Silicone-Free,,Blue,- 40 C,,,6.35 mm,,UL 94 V-0,TGF 3000SF,
951-LBSA200007000.85,LBSA2000-07-00-0.85G,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-LIQUI-BOND-TLB-SA2000-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,"$1,959.29",RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/LBSA2000-07-00-0.85G?qs=byeeYqUIh0NrUShCM4LCPg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LBSA2000-07-00-0.85G&utm_content=Bergquist-Company,+ 200 C,2 W/m-K,Thermally Conductive Liquid Adhesive,,,Silicone Elastomer,,Yellow,- 60 C,,,,,UL 94 V-0,SA 2000 / TLB SA2000,
951-GP200S4006002816,GP2000S40-0.060-02-0816,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-2000-en_GL.pdf,Non-Stocked Lead-Time 10 Weeks,$125.37,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP2000S40-0.060-02-0816?qs=qSfuJ%252Bfl%2Fd5U2WDst5%252BC%2Fw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP2000S40-0.060-02-0816&utm_content=Bergquist-Company,+ 200 C,2 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,5 kVAC,Gray,- 60 C,406.4 mm,203.2 mm,1.524 mm,45 psi,UL 94 V-0,2000S40 / TGP 2000,
951-GP2202S004501918,GP2202SF-0.045-01-0918,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-2202SF-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,$244.06,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP2202SF-0.045-01-0918?qs=qSfuJ%252Bfl%2Fd6FJyAV0iK1Ww%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP2202SF-0.045-01-0918&utm_content=Bergquist-Company,+ 125 C,2 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone-Free Metal Oxide,,Gray,- 40 C,457.2 mm,228.6 mm,1.143 mm,,UL 94 V-0,2202SF / TGP 2202SF,
951-GP2202S008001918,GP2202SF-0.080-01-0918,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-2202SF-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,$349.39,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP2202SF-0.080-01-0918?qs=qSfuJ%252Bfl%2Fd5yF1tV2OQCSw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP2202SF-0.080-01-0918&utm_content=Bergquist-Company,+ 125 C,2 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone-Free Metal Oxide,,Gray,- 40 C,457.2 mm,228.6 mm,2.032 mm,,UL 94 V-0,2202SF / TGP 2202SF,
951-GF3500LV00240200,GF3500LV-00-240-200CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-FILLER-TGF-3500LVO-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,$238.70,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GF3500LV-00-240-200CC?qs=byeeYqUIh0OaExkLdk%2F%2Fog%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GF3500LV-00-240-200CC&utm_content=Bergquist-Company,+ 200 C,3.5 W/m-K,Liquid Gap Filler,,,Silicone Elastomer,,"Blue, White",- 60 C,,,,,UL 94 V-0,3500LV / TGF 3500LVO,
951-GF3500LV07240400,GF3500LV-07-240-400CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-FILLER-TGF-3500LVO-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,$579.57,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GF3500LV-07-240-400CC?qs=byeeYqUIh0P3O3gg4F%2F4DA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GF3500LV-07-240-400CC&utm_content=Bergquist-Company,+ 200 C,3.5 W/m-K,Liquid Gap Filler,,,Silicone Elastomer,,"Blue, White",- 60 C,,,,,UL 94 V-0,3500LV / TGF 3500LVO,
951-GF3500S350760200,GF3500S35-07-60-200CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-FILLER-TGF-3600-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,$227.33,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GF3500S35-07-60-200CC?qs=byeeYqUIh0OkRVNqEFFpag%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GF3500S35-07-60-200CC&utm_content=Bergquist-Company,+ 200 C,3.6 W/m-K,Liquid Gap Filler,,,Silicone,,Blue,- 60 C,,,,,UL 94 V-0,3500S35 / TGF 3600,
951-2192462,2192462,Bergquist Company,https://www.mouser.com/datasheet/2/48/BERGQUIST_SIL_PAD_TSP_3500_en_GL-3369847.pdf,Non-Stocked Lead-Time 8 Weeks,$1.23,,,https://www.mouser.com/ProductDetail/Bergquist-Company/2192462?qs=B6kkDfuK7%2FClN46MvNbwJQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2192462&utm_content=Bergquist-Company,+ 200 C,3.5 W/m-K,Thermally Conductive Insulator,,,Silicone Elastomer,4 kVAC,White,- 60 C,,,0.508 mm,,UL 94 V-0,2000 / TSP 3500,
951-2166336,2166336,Bergquist Company,https://www.mouser.com/datasheet/2/48/BERGQUIST_SIL_PAD_TSP_3500_en_GL-3369847.pdf,Non-Stocked Lead-Time 8 Weeks,$20.81,,,https://www.mouser.com/ProductDetail/Bergquist-Company/2166336?qs=B6kkDfuK7%2FD9FWHeGK%252BBVw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=2166336&utm_content=Bergquist-Company,+ 200 C,3.5 W/m-K,Thermally Conductive Insulator,,,Silicone Elastomer,4 kVAC,White,- 60 C,,,0.508 mm,,UL 94 V-0,2000 / TSP 3500,
951-TGP1ULM012502808,TGP10000ULM-0.125-02-0808,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-10000ULM-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,$737.22,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/TGP10000ULM-0.125-02-0808?qs=OlC7AqGiEDkGj30D%252BKuAww%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TGP10000ULM-0.125-02-0808&utm_content=Bergquist-Company,+ 200 C,10 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone Elastomer,3.2 kVAC,Gray,- 60 C,203.2 mm,203.2 mm,3.175 mm,25 psi,UL 94 V-0,TGP 10000ULM,
951-GF4500CVO2401200,GF4500CVO-00-240-1200CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-FILLER-TGF-4500CVO-en_GL.pdf,Lead-Time 8 Weeks,$978.99,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GF4500CVO-00-240-1200CC?qs=A6eO%252BMLsxmTFZW0X8JhKpA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GF4500CVO-00-240-1200CC&utm_content=Bergquist-Company,+ 200 C,4.5 W/m-K,Thermally Conductive Liquid Gap Filler,Liquid Gap Filler,,Silicone Elastomer,,"Pink, White",- 60 C,,,,,UL 94 V-0,4500CV / TGF 4500CVO,
951-LBSA2000000030CC,LBSA2000-00-00-30CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-LIQUI-BOND-TLB-SA2000-en_GL.pdf,Non-Stocked Lead-Time 7 Weeks,$128.35,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/LBSA2000-00-00-30CC?qs=gZXFycFWdAOCS8%252BZej0cig%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LBSA2000-00-00-30CC&utm_content=Bergquist-Company,+ 200 C,2 W/m-K,Thermally Conductive Liquid Adhesive,,,Silicone Elastomer,,Yellow,- 60 C,,,,,UL 94 V-0,SA 2000 / TLB SA2000,
951-LBS3505072401200,LBSA3505-07-240-1200CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-LIQUI-BOND-TLB-SA3500-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,"$2,368.34",RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/LBSA3505-07-240-1200CC?qs=byeeYqUIh0PC2fNmph9VnA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LBSA3505-07-240-1200CC&utm_content=Bergquist-Company,+ 200 C,3.5 W/m-K,Thermally Conductive Liquid Adhesive,Thermal Conductive Gel Paste,,Silicone Elastomer,,"Brown, Gray",- 60 C,,,,450 psi,UL 94 V-0,SA 3505 / TLB SA3500,
951-LBS3505102401200,LBSA3505-10-240-1200CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-LIQUI-BOND-TLB-SA3500-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,"$2,368.34",RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/LBSA3505-10-240-1200CC?qs=byeeYqUIh0NWyR9PXgLxWg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=LBSA3505-10-240-1200CC&utm_content=Bergquist-Company,+ 200 C,3.5 W/m-K,Thermally Conductive Liquid Adhesive,Thermal Conductive Gel Paste,,Silicone Elastomer,,"Brown, Gray",- 60 C,,,,450 psi,UL 94 V-0,SA 3505 / TLB SA3500,
951-TIC40000000200CC,TIC4000-00-00-200CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-TGR-4000-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,"$6,765.18",RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/TIC4000-00-00-200CC?qs=byeeYqUIh0Oo8IZnsTUhnQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TIC4000-00-00-200CC&utm_content=Bergquist-Company,+ 150 C,4 W/m-K,Thermally Conductive Liquid Adhesive,,,Silicone Elastomer,,Gray,,,,,,,TIC 4000 / TGR 4000,
951-TIC40000000600CC,TIC4000-00-00-600CC,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-TGR-4000-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,"$15,607.75",RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/TIC4000-00-00-600CC?qs=byeeYqUIh0Mw%252BDYC8trh1A%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=TIC4000-00-00-600CC&utm_content=Bergquist-Company,+ 150 C,4 W/m-K,Thermally Conductive Liquid Adhesive,,,Silicone Elastomer,,Gray,,,,,,,TIC 4000 / TGR 4000,
951-GP2202S003001918,GP2202SF-0.030-01-0918,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-2202SF-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,$209.27,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP2202SF-0.030-01-0918?qs=qSfuJ%252Bfl%2Fd6qx%2F33T7XEoA%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP2202SF-0.030-01-0918&utm_content=Bergquist-Company,+ 125 C,2 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone-Free Metal Oxide,,Gray,- 40 C,457.2 mm,228.6 mm,0.762 mm,,UL 94 V-0,2202SF / TGP 2202SF,
951-GP2202S012501918,GP2202SF-0.125-01-0918,Bergquist Company,https://datasheets.tdx.henkel.com/BERGQUIST-GAP-PAD-TGP-2202SF-en_GL.pdf,Non-Stocked Lead-Time 8 Weeks,$541.73,RoHS Compliant,,https://www.mouser.com/ProductDetail/Bergquist-Company/GP2202SF-0.125-01-0918?qs=qSfuJ%252Bfl%2Fd6LgBnqn%252BVC%252BQ%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=GP2202SF-0.125-01-0918&utm_content=Bergquist-Company,+ 125 C,2 W/m-K,Thermally Conductive Gap Pad,Thermal Pad,,Silicone-Free Metal Oxide,,Gray,- 40 C,457.2 mm,228.6 mm,3.175 mm,,UL 94 V-0,2202SF / TGP 2202SF,
